track_name,track_id,track_number,duration_ms,popularity,explicit
LOST MY MIND IN PARIS,1p7HFcNMWbxEndrxP5sU1d,1,189471,60,False
PEACE & VIOLENCE,4RualhxyYN1fGMl8o2dBdC,2,176416,59,False
UNETHICAL,7G8EmDx7L5zRHb6rBJDqEG,3,219864,63,False
TOUS CES MOTS,2G3AxOLkelGSdFlXRFdOAx,4,115642,59,False
SWEET FEVER,7ECZwaokrGONfrDQXoWomp,5,209278,58,False
DON'T EVER LEAVE ME,3DFMhkPf89BV5z0HhUYa6r,6,233964,65,False
DESERT ROSE,4IzY160rwYFc8VrBhb39yQ,7,207000,56,False
WEIRDO,78eruNrxZHn3keaIkcnaAQ,8,176250,58,False
PORCELAIN,7Cqell2sab2UxIEpR60X0b,9,245298,56,False
ORNAMENT,2lZ4pzuURTfmSXW0BnskoO,10,174771,55,False
PRETTY STRANGER,6vIP2F7dw5d2lNlu1lSQMD,11,164180,62,False
